Name,Longitude,Latitude,Temperature,Pressure,Humidity,Wind,Clouds,Rain,Snow
ATIKOKAN,48.75,-91.616667,-5.586999999999989,975.12,67,2.32,76,NA,NA
CAMERON FALLS,49.15,-88.35,-3.6619999999999777,982.01,78,2.47,80,NA,NA
CHAPLEAU A,47.82,-83.346667,-4.850000000000023,1010,85,5.7,90,NA,NA
COCHRANE,49.066667,-81.033333,-2.8500000000000227,1011,79,2.6,90,NA,NA
CRYSTAL FALLS,46.45,-79.866667,-3.8500000000000227,1014,100,5.1,90,NA,NA
DRYDEN,49.783333,-92.833333,-7.850000000000023,1010,92,4.1,90,NA,NA
DRYDEN A,49.833333,-92.75,-7.2900000000000205,1010,92,4.1,90,NA,NA
EAR FALLS,50.633333,-93.216667,-9.850000000000023,1011,85,2.6,90,NA,NA
EARLTON A,47.7,-79.85,-4.850000000000023,1013,100,2.1,90,NA,NA
EMO RADBOURNE,48.683333,-93.833333,-7.069999999999993,1013,78,4.6,90,NA,NA
ENGLEHART,47.816667,-79.9,-4.850000000000023,1013,100,2.1,90,NA,NA
FLINT,48.35,-89.683333,-2.8500000000000227,1011,73,6.7,90,NA,NA
FORT FRANCES,48.616667,-93.416667,-6.550000000000011,1012,88,2.6,90,NA,NA
FORT FRANCES A,48.65,-93.433333,-6.550000000000011,1012,88,2.6,90,NA,NA
FRENCH R CHAUDIERE DAM,46.133333,-80.016667,-3.8500000000000227,1014,100,5.1,90,NA,NA
GERALDTON A,49.782803,-86.930569,-5.850000000000023,1007,92,2.1,90,NA,NA
HORNEPAYNE,49.233333,-84.8,-5.0120000000000005,980.71,75,1.62,68,NA,NA
IROQUOIS FALLS,48.75,-80.666667,-2.8500000000000227,1011,79,2.6,90,NA,NA
ISLAND FALLS,49.583333,-81.383333,-3.211999999999989,1000.98,74,1.97,88,NA,NA
KAPUSKASING A,49.413889,-82.4675,-3.8500000000000227,1009,85,3.1,90,NA,NA
KAPUSKASING CDA,49.4,-82.433333,-3.8500000000000227,1009,85,3.1,90,NA,NA
KENORA A,49.790279,-94.365279,-8.279999999999973,1012,85,3.1,90,NA,NA
KIRKLAND LAKE,48.15,-80,-4.850000000000023,1013,100,2.1,90,NA,NA
MANITOUWADGE,49.15,-85.8,-3.8500000000000227,1008,85,1.5,90,NA,NA
MATTICE TCPL,49.6,-83.166667,-3.8500000000000227,1009,85,3.1,90,NA,NA
MINE CENTRE,48.766667,-92.616667,-6.680000000000007,1013,85,2.6,90,NA,NA
MISSISSAGI ONT HYDRO,46.433333,-83.383333,-2.6499999999999773,1015,87,1.5,90,NA,NA
MONETVILLE,46.142502,-80.306957,-3.8500000000000227,1013,79,2.1,90,NA,NA
PICKLE LAKE (AUT),51.449167,-90.21778,-7.850000000000023,1008,78,3.6,90,NA,NA
PORCUPINE ONT HYDRO,48.466667,-81.266667,-2.8500000000000227,1011,79,2.6,90,NA,NA
RAWSON LAKE,49.65,-93.716667,-8.850000000000023,1012,85,3.1,90,NA,NA
RED LAKE A,51.066944,-93.793056,-9.850000000000023,1011,85,2.6,90,NA,NA
SAULT STE MARIE 2,46.533333,-84.333333,-4.170000000000016,1014,77,3.6,90,NA,NA
SAULT STE MARIE A,46.483333,-84.509444,-3.7799999999999727,1014,87,2.6,90,NA,NA
SIOUX LOOKOUT A,50.116667,-91.9,-7.490000000000009,1010,85,3.1,90,NA,NA
SLEEMAN,48.716667,-94.416667,-7.850000000000023,1013,78,4.6,90,NA,NA
SMOKY FALLS,50.066667,-82.166667,-3.437000000000012,1001.87,72,1.67,88,NA,NA
STRATTON ROMYN,48.7,-94.166667,-7.339999999999975,1013,78,4.6,90,NA,NA
SUDBURY A,46.625556,-80.797778,-3.8500000000000227,1013,79,2.1,90,NA,NA
TERRACE BAY,48.8,-87.1,-3.8500000000000227,1008,85,1.5,90,NA,NA
THUNDER BAY A,48.369444,-89.327233,-2.8500000000000227,1011,73,6.7,90,NA,NA
THUNDER BAY WPCP,48.4,-89.233333,-2.8500000000000227,1011,73,6.7,90,NA,NA
TIMMINS VICTOR POWER A,48.569722,-81.376667,-2.8500000000000227,1011,79,2.6,90,NA,NA
TURBINE,46.383333,-81.566667,-3.8500000000000227,1013,79,2.1,90,NA,NA
WAWA A,47.966667,-84.783333,-2.8500000000000227,1009,100,5.7,90,NA,NA
WHITEFISH LAKE,48.283333,-89.916667,-2.740000000000009,1011,73,6.7,90,NA,NA
